"reference_cell_types","query_clusters","number_OMGs","p_value","negative_log10_p_value","significant"
"glycine_max Stem Shoot parenchyma",0,9,0.364663555895629,0.438107637465738,"No"
"glycine_max Stem Shoot system cortex",0,4,0.635676539532438,0.196763816475186,"No"
"glycine_max Stem Shoot system vascular system",0,8,0.0773666151286483,1.11144640357031,"No"
"glycine_max Stem Stem cortex",0,8,0.827273514330061,0.0823508796547757,"No"
"glycine_max Stem Stem endodermis",0,11,0.0908628685125798,1.04161355676286,"No"
"glycine_max Stem Stem epidermis",0,7,0.288236842668805,0.540250508098316,"No"
"glycine_max Stem Stem pith",0,19,0.000111103113277971,3.95427377129766,"Yes"
"glycine_max Stem Stem trichome",0,3,1,0,"No"
"glycine_max Stem Xylem",0,1,1,0,"No"
"gossypium_bickii Leaf Companion cell",0,12,0.104556556962986,0.980648726466112,"No"
"gossypium_bickii Leaf Leaf guard cell",0,9,0.434096983864866,0.362413231658181,"No"
"gossypium_bickii Leaf Leaf lamina epidermis",0,5,1,0,"No"
"gossypium_bickii Leaf Mesophyll cell",0,0,1,0,"No"
"gossypium_bickii Leaf Phloem parenchyma cell",0,5,1,0,"No"
"gossypium_bickii Leaf Xylem",0,11,0.249219515393847,0.603417952799333,"No"
"gossypium_bickii Seed Companion cell",0,15,0.367704926173824,0.43450055181246,"No"
"gossypium_bickii Seed Leaf epidermis",0,9,1,0,"No"
"gossypium_bickii Seed Leaf guard cell",0,2,1,0,"No"
"gossypium_bickii Seed Mesophyll",0,10,1,0,"No"
"gossypium_bickii Seed Phloem parenchyma",0,8,1,0,"No"
"gossypium_bickii Seed Pigment gland",0,8,1,0,"No"
"gossypium_bickii Seed Procambium",0,8,0.648285751288785,0.188233523676534,"No"
"gossypium_bickii Seed Xylem",0,16,0.347121142409043,0.459518933571611,"No"
"gossypium_hirsutum Flower Anther wall endothecium",0,14,0.00557169442658717,2.25401270999504,"Yes"
"gossypium_hirsutum Flower Anther wall middle layer",0,3,1,0,"No"
"gossypium_hirsutum Flower Anther wall tapetum",0,1,1,0,"No"
"gossypium_hirsutum Flower Connective",0,3,1,0,"No"
"gossypium_hirsutum Flower Developing male gametophytes",0,0,1,0,"No"
"gossypium_hirsutum Flower Flower vascular system",0,6,0.961233114574772,0.0171712761230591,"No"
"gossypium_hirsutum Flower Microspore nuclei",0,0,1,0,"No"
"gossypium_hirsutum Flower Outer pigment layer",0,12,0.136695906138197,0.864244491783412,"No"
"gossypium_hirsutum Flower Ovule fiber cell",0,5,0.984887826688966,0.00661323044061176,"No"
"gossypium_hirsutum Leaf Guard cell",0,4,1,0,"No"
"gossypium_hirsutum Leaf Leaf lamina epidermis",0,7,0.608426302774916,0.215792019301674,"No"
"gossypium_hirsutum Leaf Leaf vascular system",0,14,0.089226898103662,1.04950420462556,"No"
"gossypium_hirsutum Leaf Mesophyll cell",0,10,0.141392048630322,0.849575012979513,"No"
"gossypium_hirsutum Leaf Proliferating cell",0,1,1,0,"No"
"manihot_esculenta Leaf Bundle sheath cell",0,11,0.35547812800346,0.449187115552007,"No"
"manihot_esculenta Leaf Companion cell",0,11,0.784764403208782,0.105260704711459,"No"
"manihot_esculenta Leaf Leaf guard cell",0,8,0.608426302774916,0.215792019301674,"No"
"manihot_esculenta Leaf Leaf lamina epidermis",0,3,1,0,"No"
"manihot_esculenta Leaf Leaf procambium",0,9,0.242724408989401,0.614886547704441,"No"
"manihot_esculenta Leaf Leaf vascular system",0,8,1,0,"No"
"manihot_esculenta Leaf Palisade mesophyll cell",0,1,1,0,"No"
"manihot_esculenta Leaf Sieve element",0,9,0.841151342109838,0.0751258577931245,"No"
"manihot_esculenta Leaf Spongy mesophyll cell",0,6,0.470057635006908,0.327848888807112,"No"
"manihot_esculenta Leaf Xylem",0,12,0.0107051404285088,1.97040763131896,"Yes"
"manihot_esculenta Root Metaxylem",0,9,1,0,"No"
"manihot_esculenta Root Pericycle cell",0,18,0.250686445548145,0.600869147425053,"No"
"manihot_esculenta Root Phloem",0,15,0.0269379770675702,1.56963502113636,"Yes"
