"reference_cluster","species","tissue","ref_numOMG","query_cluster","query_numOMG","num_common_OMG","FDR","test"
"Root exodermis/Sclerenchym","oryza_sativa","Root;Leaf",184,12,150,32,0.000100354553779916,"Reject"
"Cortex","solanum_lycopersicum","Root",182,12,150,44,0.000106226097278713,"Reject"
"Mesophyll","solanum_lycopersicum","Shoot axis apex",171,1,108,39,0.000111250353448076,"Reject"
"Root nodule","medicago_truncatula","Root",81,1,108,8,0.000133427442791932,"Reject"
"Shoot apical meristem","arabidopsis_thaliana","Stem",158,8,149,34,0.000134831013759995,"Reject"
"Root cap","arabidopsis_thaliana","Root",115,11,171,24,0.000192681176941116,"Reject"
"Non-hair root epidermal cell","oryza_sativa","Root",135,11,171,24,0.000203208057689342,"Reject"
"Metaphloem sieve element","arabidopsis_thaliana","Root",126,1,108,23,0.000203714046279441,"Reject"
"Proliferating cell","glycine_max","Stem",126,1,108,7,0.000203986674357908,"Reject"
"Phloem parenchyma cell","gossypium_bickii","Leaf",140,1,108,8,0.000220622564967015,"Reject"
"Phloem parenchyma cell","gossypium_bickii","Leaf",140,8,149,12,0.000220622564967015,"Reject"
"Pigment gland","gossypium_bickii","Seed",178,5,149,23,0.000226191718440119,"Reject"
"Proliferating cell","glycine_max","Flower",98,1,108,6,0.000234555868966911,"Reject"
"Root endodermis","arabidopsis_thaliana","Root",42,9,90,19,0.000259552039509841,"Reject"
"Phloem/Pericycle","arabidopsis_thaliana","Root",145,0,164,19,0.000279092757422917,"Reject"
"Leaf epidermis","oryza_sativa","Leaf",190,3,165,38,0.000279206437741633,"Reject"
"Columella root cap","arabidopsis_thaliana","Root",80,11,171,18,0.000308876937042481,"Reject"
"Root nodule","medicago_truncatula","Root",81,8,149,9,0.000341064508267002,"Reject"
"Meristematic cell","zea_mays","Root",190,3,165,18,0.000341433615466662,"Reject"
"Root epidermis","arabidopsis_thaliana","Root",141,6,162,29,0.000390161158250449,"Reject"
"Companion cell","gossypium_bickii","Leaf",166,4,118,22,0.000392935566714897,"Reject"
"Epidermis","populus_alba_var_pyramidalis","Stem",177,2,141,26,0.000395789143303159,"Reject"
"Epidermis","oryza_sativa","Root;Leaf",184,10,140,35,0.000419637158380787,"Reject"
"Lateral root cap","arabidopsis_thaliana","Root",44,11,171,18,0.000462144786982198,"Reject"
"Root endodermis","manihot_esculenta","Root",117,5,149,16,0.000481624740031644,"Reject"
"Root procambium","oryza_sativa","Root",86,3,165,13,0.000486755430803525,"Reject"
"Pericycle","oryza_sativa","Root;Leaf",186,8,149,37,0.000491594806887415,"Reject"
"Phloem","arabidopsis_thaliana","Root",116,4,118,15,0.000570971187853073,"Reject"
"Leaf trichome","solanum_lycopersicum","Leaf",169,4,118,27,0.00062284213852238,"Reject"
"Mesophyll","fragaria_vesca","Leaf",193,1,108,10,0.000634439153899689,"Reject"
"Phloem fiber cell","glycine_max","Root",128,14,85,10,0.00064118362107278,"Reject"
"Mesophyll","gossypium_bickii","Seed",193,1,108,24,0.000663500819738343,"Reject"
"Proximal meristem","triticum_aestivum","Root",91,1,108,6,0.000684524472421254,"Reject"
"Phloem parenchyma","gossypium_bickii","Seed",173,1,108,19,0.00074530600558165,"Reject"
"Columella root cap cell","arabidopsis_thaliana","Root",106,11,171,15,0.000773360325051095,"Reject"
"Cortex","arabidopsis_thaliana","Root",189,12,150,31,0.000773360325051095,"Reject"
"S phase","arabidopsis_thaliana","Leaf",109,8,149,15,0.000812269990787438,"Reject"
"Shoot system epidermis","arabidopsis_thaliana","Inflorescence",93,5,149,9,0.000834866724264765,"Reject"
"Shoot system cortex","arabidopsis_thaliana","Stem",173,3,165,21,0.000853372870481083,"Reject"
"Cork cambium","populus_alba_var_pyramidalis","Stem",180,10,140,41,0.000861263872957869,"Reject"
"Root exodermis","manihot_esculenta","Tuberous root",183,3,165,25,0.000925803564431376,"Reject"
"Root vascular system","triticum_aestivum","Root",117,1,108,13,0.000927767058919367,"Reject"
