"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,1.02669156381382,0.695,0.432,0,"1","Potri.009G118900"
0,2.77362023094391,0.335,0.073,0,"1","Potri.005G115601"
0,1.09483592075816,0.831,0.57,0,"1","Potri.004G118800"
0,1.46686433040967,0.431,0.17,0,"1","Potri.014G127300"
0,1.33201807594153,0.464,0.203,0,"1","Potri.015G094400"
0,1.03607122259814,0.642,0.381,0,"1","Potri.015G145800"
0,1.11910470668719,0.578,0.317,0,"1","Potri.006G131500"
0,0.947974008220619,0.67,0.41,0,"1","Potri.008G051900"
0,1.18546088339484,0.506,0.246,0,"1","Potri.018G140300"
0,1.22928156434808,0.494,0.235,0,"1","Potri.001G353900"
0,1.11829820830576,0.531,0.273,0,"1","Potri.010G217100"
0,1.18698001189257,0.501,0.243,0,"1","Potri.013G013600"
0,1.23265680511564,0.473,0.216,0,"1","Potri.006G181600"
0,1.073623057365,0.579,0.322,0,"1","Potri.001G131000"
0,1.1031527543026,0.572,0.315,0,"1","Potri.008G107700"
0,1.14127517967965,0.495,0.239,0,"1","Potri.003G071200"
0,1.16677081980487,0.516,0.26,0,"1","Potri.018G036900"
0,1.38191137697724,0.433,0.178,0,"1","Potri.012G142600"
0,1.0574784208888,0.598,0.343,0,"1","Potri.014G147200"
0,1.09029805181287,0.536,0.282,0,"1","Potri.010G083200"
0,0.983276406533898,0.612,0.358,0,"1","Potri.004G196500"
0,1.10755591537429,0.519,0.265,0,"1","Potri.015G084700"
0,1.14872045182591,0.53,0.277,0,"1","Potri.003G085100"
0,1.23333092229407,0.457,0.208,0,"1","Potri.012G117600"
0,1.34269867746902,0.431,0.182,0,"1","Potri.003G081600"
0,1.20279168227356,0.479,0.23,0,"1","Potri.017G146700"
0,1.0198777379538,0.557,0.309,0,"1","Potri.015G130000"
0,0.960976379299971,0.645,0.397,0,"1","Potri.015G029500"
0,1.40971152364639,0.418,0.17,0,"1","Potri.003G159500"
0,0.963174939672625,0.661,0.414,0,"1","Potri.006G188500"
0,1.18990810446605,0.468,0.221,0,"1","Potri.001G454000"
0,0.939161612667208,0.625,0.378,0,"1","Potri.003G043700"
0,2.17302610909182,0.356,0.109,0,"1","Potri.010G230600"
0,0.920294962502291,0.615,0.369,0,"1","Potri.007G065700"
0,1.20300302205071,0.45,0.205,0,"1","Potri.007G013000"
0,1.45151068531815,0.399,0.154,0,"1","Potri.011G068900"
0,1.31762065894937,0.435,0.19,0,"1","Potri.004G063300"
0,1.05093363142762,0.524,0.279,0,"1","Potri.005G024400"
0,1.94028024946397,0.363,0.118,0,"1","Potri.005G040800"
0,1.09888221708493,0.493,0.248,0,"1","Potri.005G227300"
0,1.05910750782409,0.514,0.27,0,"1","Potri.005G023500"
0,0.947070509992509,0.622,0.378,0,"1","Potri.013G017600"
0,1.03923888163046,0.517,0.273,0,"1","Potri.013G093700"
0,1.14241265846686,0.46,0.217,0,"1","Potri.015G033700"
0,0.972290530470771,0.629,0.386,0,"1","Potri.007G071800"
0,1.09337753549253,0.557,0.315,0,"1","Potri.004G044700"
0,1.44668209806053,0.392,0.15,0,"1","Potri.012G128600"
0,0.892676415915158,0.598,0.356,0,"1","Potri.002G043200"
0,1.7388506017066,0.357,0.115,0,"1","Potri.008G175500"
0,1.27820517561301,0.434,0.192,0,"1","Potri.008G187000"
0,0.92465991329717,0.637,0.395,0,"1","Potri.010G245400"
0,1.2742814049885,0.438,0.196,0,"1","Potri.014G128800"
